year,subject,candidate_count,mean_score,median_score,mode_score
2020,Toan,845473,6.68,7.0,7.8
2020,Ngu_van,830764,6.62,6.75,7.0
2020,Vat_li,286847,6.72,7.0,7.75
2020,Hoa_hoc,289066,6.71,7.0,7.75
2020,Sinh_hoc,284063,5.59,5.5,5.25
2020,Lich_su,553987,5.19,5.0,4.5
2020,Dia_li,540775,6.78,7.0,7.25
2020,Giao_duc_cong_dan,469587,8.14,8.25,8.75
2020,Tieng_anh,749285,4.58,4.2,3.4
2021,Toan,980876,6.61,7.0,7.8
2021,Ngu_van,978027,6.47,6.5,7.0
2021,Vat_li,346404,6.56,6.75,7.5
2021,Hoa_hoc,348046,6.63,7.0,7.75
2021,Sinh_hoc,342604,5.51,5.5,5.25
2021,Lich_su,637005,4.97,4.75,4.0
2021,Dia_li,631137,6.96,7.0,7.0
2021,Giao_duc_cong_dan,534123,8.37,8.5,9.25
2021,Tieng_anh,866993,5.84,5.6,4.0
2022,Toan,982728,6.47,6.8,7.8
2022,Ngu_van,981407,6.51,6.5,7.0
2022,Tieng_anh,866196,5.15,4.8,3.8
2022,Vat_li,325525,6.72,7.0,7.25
2022,Hoa_hoc,327370,6.7,7.0,8.0
2022,Sinh_hoc,322200,5.02,4.75,4.5
2022,Lich_su,659667,6.34,6.5,7.0
2022,Dia_li,657423,6.68,6.75,7.0
2022,Giao_duc_cong_dan,554347,8.03,8.25,8.5
2023,Toan,1003372,6.25,6.6,7.6
2023,Ngu_van,1008239,6.86,7.0,7.0
2023,Vat_li,327188,6.57,6.75,7.5
2023,Hoa_hoc,328117,6.74,7.0,7.5
2023,Sinh_hoc,324625,6.39,6.5,6.5
2023,Lich_su,683447,6.03,6.0,5.75
2023,Dia_li,682134,6.15,6.25,6.25
2023,Giao_duc_cong_dan,565452,8.29,8.5,9.0
2023,Tieng_anh,876102,5.45,5.2,4.2
2024,Toan,1045643,6.45,6.8,7.6
2024,Ngu_van,1050132,7.23,7.5,8.0
2024,Vat_li,345630,6.67,7.0,8.0
2024,Hoa_hoc,346530,6.68,6.75,7.75
2024,Sinh_hoc,342388,6.28,6.25,6.5
2024,Lich_su,706229,6.57,6.5,6.75
2024,Dia_li,704701,7.19,7.25,7.25
2024,Giao_duc_cong_dan,583619,8.16,8.25,
2024,Tieng_anh,906542,5.51,5.2,4.6
2025,Toan,1126172,4.78,4.6,4.75
2025,Ngu_van,1126726,7.0,7.25,7.5
2025,Vat_li,347599,6.99,7.0,7.5
2025,Hoa_hoc,240135,6.06,6.0,6.25
2025,Sinh_hoc,69895,5.78,5.75,6.5
2025,Tin_hoc,7602,6.78,6.75,7.0
2025,Lich_su,481293,6.52,6.6,7.25
2025,Dia_li,476472,6.63,6.75,7.75
2025,Cong_nghe_cong_nghiep,2290,5.79,5.6,6.0
2025,Cong_nghe_nong_nghiep,22048,7.72,7.75,8.25
2025,Giao_duc_kinh_te_va_phap_luat,246401,7.69,7.75,8.25
2025,Tieng_anh,351848,5.38,5.25,5.25
2026,Toan,1192437,5.65,5.5,5.0
2026,Ngu_van,1197227,6.5,6.75,7.0
2026,Vat_li,385930,5.56,5.5,6.5
2026,Hoa_hoc,250803,6.28,6.5,7.5
2026,Sinh_hoc,68923,5.84,5.75,6.0
2026,Tin_hoc,18264,6.07,6.0,6.25
2026,Lich_su,565056,6.19,6.1,7.0
2026,Dia_li,443884,5.1,5.0,6.0
2026,Cong_nghe_cong_nghiep,7209,6.5,6.25,6.25
2026,Cong_nghe_nong_nghiep,31079,6.96,7.0,7.5
2026,Giao_duc_kinh_te_va_phap_luat,282519,5.02,5.0,5.75
2026,Tieng_anh,334547,5.07,4.75,4.25
