"1 1111 991 29,75 28,25 1122 1019 29.5 26.85 1078 991 30 28 1122 1011 28.75 26.75 1122 1006 28 25.05 "
"2 990 964 28,10 27,75 1018 998 26.84 26.25 990 972 27.99 27.5 1010 988 26.74 26.25 1005 985 25.04 24.5 "
"3 963 944 27,65 27,30 997 984 26.24 25.75 971 954 27.49 27.1 987 972 26.24 25.85 984 969 24.49 24.05 "
"4 943 930 27,25 27,10 983 973 25.74 25.35 953 942 27.09 26.75 971 960 25.84 25.58 968 956 24.04 23.75 "
"5 929 918 27,00 26,85 972 962 25.34 25.05 941 931 26.74 26.5 959 949 25.57 25.33 955 945 23.74 23.5 "
"6 917 906 26,75 26,55 961 954 25.04 24.85 930 923 26.49 26.25 948 939 25.32 25.25 944 935 23.49 23.25 "
"7 905 895 26,50 26,30 953 946 24.84 24.6 922 912 26.24 26 938 930 25.24 25 934 927 23.24 23.05 "
"8 894 884 26,25 26,25 945 939 24.59 24.3 911 902 25.99 25.8 929 922 24.99 24.83 926 918 23.04 22.8 "
"9 883 874 26,15 26,00 938 932 24.29 24.25 901 894 25.79 25.55 921 914 24.82 24.75 917 911 22.79 22.75 "
"10 873 865 25,85 25,75 931 926 24.24 24 893 885 25.54 25.5 913 906 24.74 24.5 910 903 22.74 22.55 "
"11 864 856 25,70 25,60 925 919 23.99 23.8 884 878 25.49 25.25 905 899 24.49 24.33 902 896 22.54 22.3 "
"12 855 849 25,50 25,35 918 913 23.79 23.55 877 869 25.24 25.1 898 892 24.32 24.25 895 889 22.29 22.25 "
"13 848 839 25,25 25,25 912 908 23.54 23.5 868 862 25.09 24.8 891 885 24.24 24.01 888 882 22.24 22.01 "
"14 838 830 25,20 25,05 907 902 23.49 23.3 861 855 24.79 24.75 884 879 24 24 881 876 22 22 "
"15 829 823 25,00 24,80 901 896 23.29 23.1 854 849 24.74 24.55 878 872 23.99 23.83 875 870 21.99 21.8 "
"16 822 815 24,75 24,75 895 891 23.09 23 848 842 24.54 24.35 871 866 23.82 23.75 869 864 21.79 21.75 "
"17 814 808 24,70 24,55 890 886 22.99 22.85 841 835 24.34 24.2 865 859 23.74 23.6 863 858 21.74 21.6 "
"18 807 801 24,50 24,35 885 880 22.84 22.75 834 828 24.19 24 858 854 23.59 23.58 857 852 21.59 21.52 "
"19 800 794 24,30 24,25 879 875 22.74 22.55 827 821 23.99 23.8 853 848 23.57 23.5 851 846 21.51 21.5 "
"20 793 787 24,20 24,05 874 870 22.54 22.5 820 815 23.79 23.75 847 842 23.49 23.33 845 841 21.49 21.27 "
