School_Code,Year,Department_Code,Major_Name,Major_Code,Admission_Quota,Cutoff_Score,Subject_Combinations,Program_Type,Note
NLU,2020,CNTY,Chăn nuôi,7620105,150,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2020,CNTY,Thú y,7640101,160,"24,50","A00, B00, D07, D08",Đại trà,
NLU,2020,CK,Công nghệ kỹ thuật cơ điện tử,7510203,60,"21,50","A00, A01, D07",Đại trà,
NLU,2020,CK,Công nghệ kỹ thuật cơ khí,7510201,110,"21,00","A00, A01, D07",Đại trà,
NLU,2020,CK,Công nghệ kỹ thuật năng lượng tái tạo,7519007,40,"16,00","A00, A01, D07",Đại trà,
NLU,2020,CK,Công nghệ kỹ thuật nhiệt,7510206,60,"17,75","A00, A01, D07",Đại trà,
NLU,2020,CK,Công nghệ kỹ thuật ô tô,7510205,100,"22,75","A00, A01, D07",Đại trà,
NLU,2020,CK,Kỹ thuật điều khiển và tự động hóa,7520216,60,"21,25","A00, A01, D07",Đại trà,
NLU,2020,CNHHTP,Công nghệ kỹ thuật hóa học,7510401,160,"20,50","A00, A01, B00, D07",Đại trà,
NLU,2020,CNHHTP,Công nghệ thực phẩm,7540101,240,"23,00","A00, A01, B00, D08",Đại trà,
NLU,2020,CNTT,Công nghệ thông tin,7480201,210,"22,75","A00, A01, D07",Đại trà,
NLU,2020,KHSH,Công nghệ sinh học,7420201,155,"23,00","A00, A02, B00",Đại trà,
NLU,2020,KTE,Kế toán,7340301,80,"23,00","A00, A01, D07",Đại trà,
NLU,2020,KTE,Kinh doanh nông nghiệp,7620114,75,"16,00","A00, A01, D01",Đại trà,
NLU,2020,KTE,Kinh tế,7310101,150,"22,25","A00, A01, D01",Đại trà,
NLU,2020,KTE,Phát triển nông thôn,7620116,60,"16,00","A00, A01, D01",Đại trà,
NLU,2020,KTE,Quản trị kinh doanh,7340101,170,"23,00","A00, A01, D01",Đại trà,
NLU,2020,LN,Công nghệ chế biến lâm sản,7549001,155,"16,00","A00, A01, B00, D01",Đại trà,
NLU,2020,LN,Lâm học,7620201,80,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2020,LN,Lâm nghiệp đô thị,7620202,40,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2020,LN,Quản lý tài nguyên rừng,7620211,60,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2020,MTTN,Cảnh quan và kỹ thuật hoa viên,7859007,100,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2020,MTTN,Hệ thống thông tin,7480104,40,"17,00","A00, A01, D07",Đại trà,
NLU,2020,MTTN,Khoa học môi trường,7440301,80,"18,00","A00, A01, B00, D07",Đại trà,
NLU,2020,MTTN,Kỹ thuật môi trường,7520320,80,"16,00","A00, A01, B00, D07",Đại trà,
NLU,2020,MTTN,Quản lý tài nguyên và môi trường,7850101,110,"16,00","A00, A01, B00, D07",Đại trà,
NLU,2020,MTTN,Tài nguyên và Du lịch sinh thái,7850102,40,"16,00","A00, A01, B00, D08",Đại trà,
NLU,2020,NNSP,Ngôn ngữ Anh (*),7220201,100,"23,00","A01, D01, D14, D15",Đại trà,"Môn chính là Tiếng Anh (nhân hệ số 2), điểm xét tuyển được quy về hệ điểm 30 dành cho tổ hợp môn xét tuyển."
NLU,2020,NNSP,Sư phạm kỹ thuật nông nghiệp,7140215,45,"18,50","A00, A01, B00, D08",Đại trà,
NLU,2020,NH,Bảo vệ thực vật,7620112,85,"19,50","A00, B00, D08",Đại trà,
NLU,2020,NH,Nông học,7620109,210,"17,25","A00, B00, D08",Đại trà,
NLU,2020,QLDD,Bất động sản,7340116,90,"19,00","A00, A01, D01",Đại trà,
NLU,2020,QLDD,Quản lý đất đai,7850103,160,"16,00","A00, A01, D01",Đại trà,
NLU,2020,TS,Công nghệ chế biến thủy sản,7540105,75,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2020,TS,Nuôi trồng thủy sản,7620301,170,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2020,CNTY,Thú y,7640101T,30,"24,50","A00, B00, D07, D08",Tiên tiến,
NLU,2020,CNHHTP,Công nghệ thực phẩm,7540101T,60,"19,00","A00, A01, B00, D08",Tiên tiến,
NLU,2020,CK,Công nghệ kỹ thuật cơ khí,7510201C,30,"16,25","A00, A01, D07",CLC,
NLU,2020,CNHHTP,Công nghệ thực phẩm,7540101C,60,"19,00","A00, A01, B00, D08",CLC,
NLU,2020,KHSH,Công nghệ sinh học,7420201C,30,"16,25","A01, D07, D08",CLC,
NLU,2020,KTE,Quản trị kinh doanh,7340101C,50,"20,70","A00, A01, D01",CLC,
