School_Code,Year,Major_Code,Major_Name,Admission_Quota,Cutoff_Score,Subject_Combinations,Program_Type,Note
SGU,2020,7140114,Quản lý giáo dục,45,22.1,D01,Đại trà,
SGU,2020,7140201,Giáo dục Mầm non,180,18.5,"M01, M02",Đại trà,
SGU,2020,7140202,Giáo dục Tiểu học,180,22.8,D01,Đại trà,
SGU,2020,7140205,Giáo dục chính trị,30,21.25,"C00, C19",Đại trà,
SGU,2020,7140209,Sư phạm Toán học,60,25.18,A00,Đại trà,Môn chính: Toán
SGU,2020,7140211,Sư phạm Vật lí,30,24.48,A00,Đại trà,Môn chính: Lý
SGU,2020,7140212,Sư phạm Hóa học,30,24.98,A00,Đại trà,Môn chính: Hóa
SGU,2020,7140213,Sư phạm Sinh học,30,20.1,B00,Đại trà,Môn chính: Sinh
SGU,2020,7140217,Sư phạm Ngữ văn,45,24.25,C00,Đại trà,Môn chính: Văn
SGU,2020,7140218,Sư phạm Lịch sử,30,22.5,C00,Đại trà,Môn chính: Sử
SGU,2020,7140219,Sư phạm Địa lí,30,22.9,C00,Đại trà,Môn chính: Địa
SGU,2020,7140221,Sư phạm Âm nhạc,30,24,N00,Đại trà,
SGU,2020,7140222,Sư phạm Mĩ thuật,30,18.25,H00,Đại trà,
SGU,2020,7140231,Sư phạm Tiếng Anh,150,24.96,D01,Đại trà,Môn chính: Anh
SGU,2020,7140247,Sư phạm Khoa học tự nhiên,30,22.55,A00,Đại trà,
SGU,2020,7140249,Sư phạm Lịch sử - Địa lý,30,21.75,C00,Đại trà,
SGU,2020,7220201,Ngôn ngữ Anh,320,24.29,D01,Đại trà,Môn chính: Anh
SGU,2020,7310401,Tâm lý học,100,22.15,D01,Đại trà,
SGU,2020,7310601,Quốc tế học,140,21.18,D01,Đại trà,Môn chính: Anh
SGU,2020,7310630,Việt Nam học,170,22,C00,Đại trà,
SGU,2020,7320201,Thông tin - thư viện,60,20.1,D01,Đại trà,
SGU,2020,7340101,Quản trị kinh doanh,440,24.26,D01,Đại trà,Môn chính: Toán
SGU,2020,7340120,Kinh doanh quốc tế,90,25.55,D01,Đại trà,Môn chính: Toán
SGU,2020,7340201,Tài chính - ngân hàng,460,23.7,D01,Đại trà,Môn chính: Toán
SGU,2020,7340301,Kế toán,440,23.48,D01,Đại trà,Môn chính: Toán
SGU,2020,7340406,Quản trị Văn phòng,90,24.18,D01,Đại trà,Môn chính: Văn
SGU,2020,7380101,Luật,200,23.35,D01,Đại trà,
SGU,2020,7460112,Toán ứng dụng,80,18.81,A00,Đại trà,Môn chính: Toán
SGU,2020,7210205,Thanh nhạc,100,22.25,N00,Đại trà,
SGU,2020,7440301,Khoa học Môi trường,10,17,A00,Đại trà,
SGU,2020,7480103,Kỹ thuật Phần mềm,60,23.75,A00,Đại trà,Môn chính: Toán
SGU,2020,7510301,"Công nghệ kỹ thuật điện, điện tử",90,21.3,A00,Đại trà,
SGU,2020,7510302,Công nghệ kỹ thuật điện tử - viễn thông,50,19.4,A00,Đại trà,
SGU,2020,7510406,Công nghệ kỹ thuật môi trường,50,17.1,A00,Đại trà,
SGU,2020,7520201,Kỹ thuật điện,40,18.25,A00,Đại trà,
SGU,2020,7520207,Kỹ thuật điện tử - viễn thông,40,15.25,A00,Đại trà,
SGU,2021,7140114,Quản lý giáo dục,45,22.55,D01,Đại trà,
